Job ID,Megha Job Completion Time,Sparrow Job Completion Time,Ideal Job Completion Time
322,1473344.011500002,1474219.0044999998,1473340.03
323,1473079.0135000022,1477094.0064999997,1473067.04
324,1473174.0035000006,1476162.0064999997,1473160.05
325,1473095.0035000006,1475059.0074999996,1473062.06
326,1474066.005500001,1476658.0104999994,1474031.07
327,1474227.0035000006,1478905.0074999996,1474199.08
328,1473663.0195000016,1476783.0204999994,1473634.0
329,1473095.0035000006,1482727.011499999,1473062.01
330,1474328.0035000006,1478483.0094999997,1473595.0
331,1473118.0155000023,1479616.0094999997,1473101.0
332,1473083.0035000006,1478245.021499999,1473066.0
333,1473115.005500001,1477959.0094999997,1473097.0
334,1473264.005500001,1474730.0064999997,1473246.01
335,1473180.0095000016,1475948.0104999994,1473161.02
336,1473123.0035000006,1474608.0064999997,1473094.03
337,1473183.0195000016,1475277.0074999996,1473143.04
338,1473091.0195000016,1476597.0064999997,1473072.0
339,1473290.0135000022,1477375.011499999,1473269.01
340,1473339.0035000006,1475155.0054999995,1473318.0
341,1473397.011500002,1477495.0054999995,1473319.0
342,1473463.0135000022,1473751.0154999995,1473448.0
343,1473478.0255000023,1486005.0064999997,1473460.01
344,1473974.0155000023,1475725.0364999997,1473957.02
345,1474107.0075000012,1478980.0084999995,1473957.0
346,1473122.0035000006,1475264.0074999996,1473097.01
347,1473133.021500002,1476144.0184999995,1473126.0
348,1473248.0035000006,1476056.0044999998,1473245.0
349,1474020.021500002,1475928.0044999998,1474014.01
350,1473303.005500001,1478218.0234999992,1473244.0
351,1473221.005500001,1477945.0194999997,1473220.01
352,1474169.0095000016,1478774.0064999997,1474013.02
353,1473248.0175000029,1480447.0084999995,1473247.0
354,1473244.0075000012,1477862.0124999993,1473234.0
355,1473152.0035000006,1475084.0035,1473149.0
356,1473440.0035000006,1489062.0084999995,1473436.01
357,1473279.0195000016,1478095.0094999997,1473275.02
358,1473457.0075000012,1475226.0174999996,1473452.03
359,1473441.0095000016,1478480.0094999997,1473437.0
360,1473227.0035000006,1475717.0084999995,1473226.0
361,1473434.0095000016,1477401.0094999997,1473434.0
362,1473175.0175000012,1481876.011499999,1473175.01
363,1473226.0035000006,1478184.0074999996,1473222.02
364,1474785.011500002,1487233.0094999997,1474783.03
365,1473451.0035000006,1473445.0415,1473445.04
366,1473493.0095000016,1478184.0104999994,1473442.0
367,1473592.0035000006,1473592.0015,1473592.0
368,1488192.0035000006,1491699.0084999995,1488190.01
369,1473436.0035000006,1477788.0094999997,1473435.0
370,1473192.0035000006,1473239.0054999995,1473190.0
371,1473406.0095000016,1477947.0094999997,1473403.0
372,1473220.0075000012,1486260.0064999997,1473214.0
373,1473219.005500001,1473213.0015,1473213.0
374,1473501.0035000006,1475680.0094999997,1473500.0
375,1473378.0035000006,1478256.0094999997,1473369.0
376,1473381.0035000006,1474285.0054999995,1473369.0
377,1473328.0035000006,1487950.0194999997,1473313.01
378,1692506.0035000006,1695722.0074999996,1692498.0
379,1473301.0035000006,1477999.0084999995,1473299.0
380,1473502.0075000012,1488007.0084999995,1473502.0
381,1473535.0035000006,1475045.0174999996,1473534.0
382,1473483.005500001,1479938.0104999994,1473480.01
383,1473517.0095000016,1478294.015499999,1473483.0
384,1473693.0095000016,1477741.0104999994,1473693.0
385,1473302.021500002,1474992.0074999996,1473302.0
386,1473304.015500001,1477525.0104999994,1473303.01
387,1473319.0035000006,1481327.0104999994,1473316.0
388,1473532.0075000012,1474672.0464999997,1473529.0
389,1473329.0075000012,1486702.0074999996,1473327.0
390,1473329.0035000006,1474756.0054999995,1473329.0
391,1473333.0075000012,1482200.0084999995,1473332.0
392,1473680.005500001,1486983.0064999997,1473680.0
393,1473683.0075000012,1478550.0084999995,1473680.0
394,1473681.0075000012,1478455.0094999997,1473680.0
395,1474780.0235000022,1487408.0084999995,1474775.0
396,1473704.005500001,1485615.0104999994,1473697.01
397,1473485.0095000016,1474729.0064999997,1473481.02
398,1473452.0095000016,1477402.0104999994,1473448.03
399,1473377.005500001,1473370.0415,1473370.04
400,1474772.005500001,1480873.0064999997,1474765.05
401,1473349.005500001,1482953.0104999994,1473342.06
402,1473821.005500001,1478056.0074999996,1473813.07
403,1473695.005500001,1478405.0244999991,1473687.08
404,1473702.005500001,1475970.0074999996,1473694.09
405,1473612.0035000006,1478569.0124999993,1473602.1
