Job ID,Megha Centralised Job Completion Time,Megha Distributed Job Completion Time,Ideal Job Completion Time
49,297003.2015000001,297003.2015000001,297003.2
50,296992.60150000005,296992.60150000005,296992.6
51,297605.80150000006,297605.80150000006,297605.8
52,324168.0015000001,324168.0015000001,324168.0
53,303413.80150000006,303413.80150000006,303413.8
54,296577.4015000001,296577.4015000001,296577.4
55,297295.0015000001,297295.0015000001,297295.0
56,296921.80150000006,296921.80150000006,296921.8
57,303056.2015000001,303056.2015000001,303056.2
58,296743.60150000005,296743.60150000005,296743.6
59,297665.80150000006,297665.80150000006,297665.8
60,296668.81150000007,296668.81150000007,296668.81
61,312192.60150000005,312192.60150000005,312192.6
62,297604.60150000005,297604.60150000005,297604.6
63,297600.2015000001,297600.2015000001,297600.2
64,311726.2015000001,311726.2015000001,311726.2
65,312019.2015000001,312019.2015000001,312019.2
66,296490.80150000006,296490.80150000006,296490.8
67,296508.60150000005,296508.60150000005,296508.6
68,297968.80150000006,297968.80150000006,297968.8
69,296512.60150000005,296512.60150000005,296512.6
70,296496.0015000001,296496.0015000001,296496.0
71,296496.0115000001,296496.0115000001,296496.01
72,296548.60150000005,296548.60150000005,296548.6
73,296035.61150000006,296035.61150000006,296035.61
74,296032.2015000001,296032.2015000001,296032.2
75,309003.0015000001,309003.0015000001,309003.0
76,308902.2015000001,308902.2015000001,308902.2
77,308852.60150000005,308852.60150000005,308852.6
78,297738.61150000006,297738.61150000006,297738.61
79,296387.60150000005,296387.60150000005,296387.6
80,296388.60150000005,296388.60150000005,296388.6
81,296863.0015000001,296863.0015000001,296863.0
82,295994.4015000001,295994.4015000001,295994.4
83,295694.4115000001,295694.4115000001,295694.41000000003
84,295907.4015000001,295907.4015000001,295907.4
85,295882.0015000001,295882.0015000001,295882.0
86,295492.4015000001,295492.4015000001,295492.4
87,295460.4015000001,295460.4015000001,295460.4
88,295513.2015000001,295513.2015000001,295513.2
89,295536.80150000006,295536.80150000006,295536.8
90,295498.0015000001,295498.0015000001,295498.0
91,295416.2015000001,295416.2015000001,295416.2
92,295523.80150000006,295523.80150000006,295523.8
93,295494.80150000006,295494.80150000006,295494.8
94,295338.81150000007,295338.81150000007,295338.81
95,295483.80150000006,295483.8025000001,295483.8
96,296235.81150000007,296235.81150000007,296235.81
97,296284.8215000001,296284.8215000001,296284.82
98,295324.8315000001,295324.8315000001,295324.83
99,296557.60150000005,296557.60150000005,296557.6
100,300457.61150000006,300457.61150000006,300457.61
101,295404.2015000001,295404.2015000001,295404.2
102,295418.60150000005,295418.60150000005,295418.6
103,296472.0015000001,296472.0015000001,296472.0
104,296468.4015000001,296468.4015000001,296468.4
105,300311.4015000001,300311.40250000014,300311.4
106,321286.8555000026,314208.4755000036,300316.2
107,296917.2035000002,297316.81350000016,296281.8
108,295909.2035000002,296304.00350000017,295267.4
109,296973.4035000002,297318.00350000017,296273.8
110,295507.4035000002,295865.00350000017,294854.4
111,297356.4035000002,297757.2035000002,296697.2
112,295407.4035000002,295821.2035000002,294753.6
113,295429.4035000002,295902.8045000002,294772.8
114,297248.60350000014,297768.8035000001,296600.2
115,315430.66150000243,314643.8295000014,296621.8
116,341404.021500001,340286.84950000234,320313.2
117,314451.60350000014,313158.4035000002,312437.21
118,295444.4035000002,295958.2035000002,294805.6
119,295416.4035000002,295909.00350000017,294774.2
120,295298.4035000002,295823.8035000001,294668.8
121,295445.4035000002,295975.00350000017,294817.2
122,295345.4035000002,296046.4135000002,294731.8
123,296428.4035000002,297095.4135000002,295797.4
124,296356.4035000002,297057.4135000002,295760.2
125,306537.65750000224,309271.6315000015,295758.6
126,326608.2355000017,327002.9225000343,295804.61
127,297461.60350000014,306937.6675000027,295495.2
128,298257.8035000001,298308.8035000001,297312.8
129,295657.4035000002,296463.2055000003,295045.81
130,297974.4035000002,298769.80550000025,297349.82
131,295385.4035000002,296242.00350000017,294790.2
132,295214.4035000002,296074.00350000017,294621.6
133,295232.4035000002,296096.00550000026,294639.61
134,295140.4035000002,296019.00350000017,294550.4
135,295385.4035000002,296263.00350000017,294798.0
136,296094.4055000003,295986.4035000002,295397.01
137,295940.4035000002,296958.2075000004,295367.02
138,295019.4035000002,296048.00550000026,294450.2
139,295280.4035000002,296284.4035000002,294712.2
140,295275.4035000002,296167.00350000017,294707.8
141,295185.4035000002,296087.00550000026,294617.81
142,295338.4035000002,296244.00550000026,294762.82
143,295210.4035000002,296117.00550000026,294629.4
144,295682.4075000004,303589.0415000015,294628.41000000003
145,295524.4035000002,296737.60350000014,294760.42000000004
146,295147.4035000002,296053.00550000026,294567.43000000005
147,297983.80750000034,297547.6115000005,294705.44000000006
148,295049.4035000002,296008.2055000003,294476.4
149,295063.4035000002,296040.00550000026,294491.41000000003
150,304423.4035000002,305290.00350000017,303845.42000000004
151,295044.4035000002,295911.00350000017,294466.43000000005
152,295026.4035000002,295904.00350000017,294459.44000000006
153,295013.4035000002,295892.00350000017,294448.6
154,296059.4035000002,297090.6135000001,295485.0
155,295735.4035000002,296773.0075000004,295163.01
156,295891.4035000002,296933.4155000003,295317.02
157,295747.4035000002,296802.0075000004,295184.03
158,295265.2035000002,296322.0075000004,294699.04000000004
159,314637.8715000034,321426.25550000265,294713.4
160,295033.4035000002,296105.00550000026,294463.0
161,295606.4035000002,296690.0075000004,295036.6
162,295025.4035000002,296120.0075000004,294460.6
163,304337.4035000002,305448.0075000004,303782.6
164,295028.4035000002,296145.0075000004,294469.4
165,295801.4035000002,296926.00950000045,295249.2
166,295969.4035000002,297113.00950000045,295411.21
167,297124.60350000014,305214.2355000017,295246.6
168,295017.4035000002,296181.00550000026,294458.2
169,295016.4035000002,296206.0075000004,294471.4
170,296881.41350000066,296597.6095000004,295380.8
171,295364.4035000002,296579.00950000045,294819.81
172,295102.4035000002,296346.81350000016,294557.82
173,301424.21750000084,303032.00550000026,294843.2
