Job ID,Megha Job Completion Time,Sparrow Job Completion Time,Ideal Job Completion Time,Megha Delay in Job Completion Time,Sparrow Delay in Job Completion Time
70,296496.0015000001,296496.0015,296496.0,0.001500000071246177,0.001500000013038516
71,296496.0115000001,296496.0115,296496.01,0.001500000071246177,0.001500000013038516
72,296548.60150000005,296548.6015,296548.6,0.001500000071246177,0.001500000013038516
73,296035.61150000006,296035.6115,296035.61,0.001500000071246177,0.001500000013038516
74,296032.2015000001,296032.2015,296032.2,0.001500000071246177,0.001500000013038516
75,309003.0015000001,309003.0015,309003.0,0.001500000071246177,0.001500000013038516
76,308902.2015000001,308902.2015,308902.2,0.001500000071246177,0.001500000013038516
77,308852.60150000005,308852.6015,308852.6,0.001500000071246177,0.001500000013038516
78,297738.61150000006,297738.6115,297738.61,0.001500000071246177,0.001500000013038516
79,296387.60150000005,296387.6015,296387.6,0.001500000071246177,0.001500000013038516
